Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Direction,Layout,Control Time,Order,PPWS,Errors,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA10,No,None,Yes,9.33,1.61,Collocated,Backward,6,,3,17.44%,3,2.5,3,3,2,2,Yes
OA10,No,None,Yes,9.33,1.61,HUD,Forward,4,,4,15.33%,3,2,2,2,2,2,No
OA10,No,None,Yes,9.33,1.61,HUD,Backward,4,,4,15.36%,2,2,2,2,2,2,No
OA10,No,None,Yes,9.33,1.61,Combined,Forward,2,,5,16.68%,3,2,2,2,2,2,No
OA10,No,None,Yes,9.33,1.61,Combined,Backward,2,,5,19.25%,2,2,2,2,2,2,No
OA10,No,None,Yes,9.33,1.61,Control (last),Forward,1,31.21,6,29.88%,2,4,4,3,4,4,N/A
OA10,No,None,Yes,9.33,1.61,Control (last),Backward,1,29.71,6,31.39%,0,4,4,3,4,4,N/A
OA11,Yes,None,No,13.74,1.09,Control (first),Forward,8,26.27,1,52.28%,0,5.5,6,6,5,5,N/A
OA11,Yes,None,No,13.74,1.09,Control (first),Backward,8,27.54,1,49.87%,0,5.5,6,6,5,5,N/A
OA11,Yes,None,No,13.74,1.09,No Cues,Forward,5,,5,52.15%,1,4,4,4,4,4,N/A
OA11,Yes,None,No,13.74,1.09,No Cues,Backward,5,,5,64.02%,0,4,4,4,4,4,N/A
OA11,Yes,None,No,13.74,1.09,Collocated,Forward,7,,4,56.84%,1,5.5,6,6,5,5,Yes
OA11,Yes,None,No,13.74,1.09,Collocated,Backward,7,,4,59.46%,1,5.5,6,6,5,5,Yes
OA11,Yes,None,No,13.74,1.09,HUD,Forward,6,,2,46.13%,1,6,5,6,6,6,No
OA11,Yes,None,No,13.74,1.09,HUD,Backward,6,,2,41.60%,1,6,5,6,6,6,No
OA11,Yes,None,No,13.74,1.09,Combined,Forward,3,,3,46.90%,1,5.5,6,6,5,5,No
OA11,Yes,None,No,13.74,1.09,Combined,Backward,3,,3,48.48%,1,5.5,6,6,5,5,No
OA11,Yes,None,No,13.74,1.09,Control (last),Forward,1,24.87,6,55.23%,0,5,6,5,5,5,N/A
OA11,Yes,None,No,13.74,1.09,Control (last),Backward,1,25.71,6,53.42%,0,5,6,5,5,5,N/A
OA12,Yes,None,No,11.37,1.32,Control (first),Forward,4,17.53,1,64.86%,0,5,5,4,5,5,N/A
OA12,Yes,None,No,11.37,1.32,Control (first),Backward,4,16.18,1,70.27%,0,5,5,4,5,5,N/A
OA12,Yes,None,No,11.37,1.32,No Cues,Forward,7,,5,73.32%,0,3,3,3,2,3,N/A
OA12,Yes,None,No,11.37,1.32,No Cues,Backward,7,,5,79.91%,0,3,3,3,2,3,N/A
OA12,Yes,None,No,11.37,1.32,Collocated,Forward,5,,2,62.41%,0,6,6,6,7,6,No
OA12,Yes,None,No,11.37,1.32,Collocated,Backward,5,,2,74.99%,0,6,6,6,7,6,No
OA12,Yes,None,No,11.37,1.32,HUD,Forward,6,,4,75.68%,0,4,4,5,4,4,No
OA12,Yes,None,No,11.37,1.32,HUD,Backward,6,,4,83.43%,0,4,4,5,4,4,No
OA12,Yes,None,No,11.37,1.32,Combined,Forward,1,,3,69.79%,0,7,7,7,7,7,Yes
OA12,Yes,None,No,11.37,1.32,Combined,Backward,1,,3,79.86%,0,7,7,7,7,7,Yes
OA12,Yes,None,No,11.37,1.32,Control (last),Forward,8,16.19,6,70.23%,0,4.5,4,5,4,5,N/A
OA12,Yes,None,No,11.37,1.32,Control (last),Backward,8,15.4,6,73.83%,0,4.5,4,5,4,5,N/A
OA13,Yes,None,Yes,11.17,1.34,Control (first),Forward,5,18.76,1,59.53%,0,7,7,7,7,7,N/A
OA13,Yes,None,Yes,11.17,1.34,Control (first),Backward,5,16.84,1,66.32%,0,7,7,7,7,7,N/A
OA13,Yes,None,Yes,11.17,1.34,No Cues,Forward,4,,2,60.83%,2,3.5,2,3,4,4,N/A
OA13,Yes,None,Yes,11.17,1.34,No Cues,Backward,4,,2,62.98%,0,3.5,2,3,4,4,N/A
OA13,Yes,None,Yes,11.17,1.34,Collocated,Forward,3,,3,60.52%,0,7,7,7,7,7,No
OA13,Yes,None,Yes,11.17,1.34,Collocated,Backward,3,,3,65.26%,0,7,7,7,7,7,No
OA13,Yes,None,Yes,11.17,1.34,HUD,Forward,1,,5,52.06%,0,4,4,4,4,5,No
OA13,Yes,None,Yes,11.17,1.34,HUD,Backward,1,,5,57.89%,0,4,4,4,4,5,No
OA13,Yes,None,Yes,11.17,1.34,Combined,Forward,2,,4,58.00%,0,5.5,7,7,4,4,Yes
OA13,Yes,None,Yes,11.17,1.34,Combined,Backward,2,,4,59.75%,0,5.5,7,7,4,4,Yes
