Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Order,Layout,Forward or Backward,Time,PPWS,Errors,Total Distance,Total Time (Calibrated),Average Velocity,X Rotation (Pitch),Y Rotation (Yaw),Z Rotation (Roll),Total Rotation,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (first),1,1,Forward,20.65,71.00%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7,7,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (first),1,1,Backward,17.48,83.88%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7,7,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,No Cues,3,6,Forward,21.36,68.63%,2,15.49,21.36,0.73,755.41,317.35,323.71,"1,396.47",3.5,3,3,4,4,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,No Cues,3,6,Backward,19.91,73.66%,0,15.54,19.9,0.78,612.89,296.54,265.53,"1,174.96",3.5,3,3,4,4,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Collocated,5,3,Forward,20.69,70.87%,0,15.15,20.68,0.73,639.11,322.81,292.85,"1,254.77",5,5,5,6,5,Yes
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Collocated,5,3,Backward,19.77,74.17%,0,15.58,19.76,0.79,566.65,333.59,290.41,"1,190.64",5,5,5,6,5,Yes
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,HUD,4,8,Forward,40.06,36.60%,1,16.47,40.06,0.41,970.09,525,447.01,"1,942.10",3,3,3,1,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,HUD,4,8,Backward,25.63,57.20%,0,15.72,25.62,0.61,625.64,384.03,356.57,"1,366.23",3,3,3,1,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Combined,2,2,Forward,29.74,49.31%,2,15.77,29.72,0.53,785.22,356.58,339.79,"1,481.60",4.5,4,5,5,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Combined,2,2,Backward,26.23,55.90%,1,15.59,26.22,0.59,630.88,364.25,370.5,"1,365.63",4.5,4,5,5,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (last),6,4,Forward,16.45,89.13%,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,7,5,7,6,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (last),6,4,Backward,15.83,92.62%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,7,5,7,6,N/A
OA20,Yes,None,No,13.23,1.13,Control (first),1,1,Forward,34.24,38.63%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,5,5,5,N/A
OA20,Yes,None,No,13.23,1.13,Control (first),1,1,Backward,28.09,47.09%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,5,5,5,N/A
OA20,Yes,None,No,13.23,1.13,No Cues,3,4,Forward,36.53,36.21%,1,16.68,36.52,0.46,563.66,640.31,442.76,"1,646.73",4,4,4,4,4,N/A
OA20,Yes,None,No,13.23,1.13,No Cues,3,4,Backward,38.61,34.26%,1,16.89,38.6,0.44,662,693.82,440.29,"1,796.11",4,4,4,4,4,N/A
OA20,Yes,None,No,13.23,1.13,Collocated,5,8,Forward,31.02,42.64%,1,16.68,31.02,0.54,891.98,547.43,402.79,"1,842.19",6.5,6,7,6,7,No
OA20,Yes,None,No,13.23,1.13,Collocated,5,8,Backward,27.07,48.87%,0,16.19,27.06,0.6,685.23,484.1,336.84,"1,506.18",6.5,6,7,6,7,No
OA20,Yes,None,No,13.23,1.13,HUD,4,7,Forward,42.06,31.45%,0,16.88,42.04,0.4,709.14,621.39,449.42,"1,779.95",5.5,6,5,5,6,No
OA20,Yes,None,No,13.23,1.13,HUD,4,7,Backward,33.37,39.64%,0,16.73,33.36,0.5,742.38,545.41,405.86,"1,693.65",5.5,6,5,5,6,No
OA20,Yes,None,No,13.23,1.13,Combined,2,6,Forward,33.78,39.16%,0,16.4,33.76,0.49,870.84,679.23,513.79,"2,063.86",6.5,6,7,6,7,Yes
OA20,Yes,None,No,13.23,1.13,Combined,2,6,Backward,28.73,46.04%,0,16.42,28.72,0.57,615.81,493.97,405.93,"1,515.71",6.5,6,7,6,7,Yes
OA20,Yes,None,No,13.23,1.13,Control (last),6,5,Forward,36.43,36.31%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.5,4,5,4,5,N/A
OA20,Yes,None,No,13.23,1.13,Control (last),6,5,Backward,24.58,53.81%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.5,4,5,4,5,N/A
